freq,Z_Re,Z_Im
0.0100058,187.634,-307.122
0.0147073,156.127,-227.186
0.0215993,131.8,-168.622
0.0318098,115.307,-125.067
0.0467255,104.485,-94.2419
0.0686005,95.5711,-70.1335
0.100968,87.7902,-52.7134
0.148386,81.5199,-40.785
0.218129,77.3857,-31.6543
0.32071,73.9463,-23.9168
0.471769,70.5694,-18.0377
0.694074,68.1113,-14.1801
1.01884,66.6129,-10.8704
1.5001,65.2651,-8.1412
2.20443,64.1217,-6.38112
3.23901,63.5396,-4.85346
4.76372,62.8747,-3.92032
7.00045,62.3335,-3.11962
10.2931,61.9228,-2.51609
15.1405,61.5513,-2.13222
22.2578,61.2364,-1.84314
32.7078,60.9769,-1.63715
48.1065,60.7052,-1.53151
70.7471,60.4997,-1.49347
103.969,60.2589,-1.61393
152.896,60.0413,-1.8352
224.784,59.8232,-2.16263
330.529,59.441,-2.73797
485.777,59.0726,-3.52862
714.314,58.4453,-4.59011
1050.34,57.5091,-6.01725
1543.52,56.0956,-7.76358
2267.82,54.0126,-9.69593
3336.07,51.0725,-11.6232
4901.57,47.2824,-13.2005
7240.34,42.8763,-13.8966
10595.7,38.3921,-13.5657
15585.9,34.3541,-12.4544
22910.2,31.0006,-10.836
33681.6,28.4491,-9.0638
49521.5,26.617,-7.37323
72802.7,25.2257,-5.85451
107031,24.2397,-4.57653
157353,23.4817,-3.4483
231328,22.9311,-2.49565
340098,22.6598,-1.62971
500019,22.4419,-0.69173
